"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2016-06-30","0.00","79","59"
"USW00014846","SANDUSKY, OH US","2016-07-01","0.21","75","64"
"USW00014846","SANDUSKY, OH US","2016-07-02","0.00","74","65"
"USW00014846","SANDUSKY, OH US","2016-07-03","0.00","76","60"
"USW00014846","SANDUSKY, OH US","2016-07-04","0.00","76","62"
"USW00014846","SANDUSKY, OH US","2016-07-05","0.00","82","70"
"USW00014846","SANDUSKY, OH US","2016-07-06","0.08","88","70"
"USW00014846","SANDUSKY, OH US","2016-07-07","0.00","85","71"
"USW00014846","SANDUSKY, OH US","2016-07-08","0.19","88","72"
"USW00014846","SANDUSKY, OH US","2016-07-09","0.00","77","70"
"USW00014846","SANDUSKY, OH US","2016-07-10","0.00","81","68"
"USW00014846","SANDUSKY, OH US","2016-07-11","0.00","86","68"
"USW00014846","SANDUSKY, OH US","2016-07-12","0.00","92","72"
"USW00014846","SANDUSKY, OH US","2016-07-13","0.30","91","71"
"USW00014846","SANDUSKY, OH US","2016-07-14","0.07","86","71"
"USW00014846","SANDUSKY, OH US","2016-07-15","0.00","82","70"
"USW00014846","SANDUSKY, OH US","2016-07-16","0.00","75","68"
"USW00014846","SANDUSKY, OH US","2016-07-17","0.00","87","64"
"USW00014846","SANDUSKY, OH US","2016-07-18","0.44","85","70"
"USW00014846","SANDUSKY, OH US","2016-07-19","0.00","85","71"
"USW00014846","SANDUSKY, OH US","2016-07-20","0.00","81","64"
"USW00014846","SANDUSKY, OH US","2016-07-21","0.00","91","70"
"USW00014846","SANDUSKY, OH US","2016-07-22","0.00","92","76"
"USW00014846","SANDUSKY, OH US","2016-07-23","0.00","89","75"
"USW00014846","SANDUSKY, OH US","2016-07-24","1.45","83","73"
"USW00014846","SANDUSKY, OH US","2016-07-25","0.00","88","78"
"USW00014846","SANDUSKY, OH US","2016-07-26","0.00","82","72"
"USW00014846","SANDUSKY, OH US","2016-07-27","0.00","86","68"
"USW00014846","SANDUSKY, OH US","2016-07-28","0.00","83","71"
"USW00014846","SANDUSKY, OH US","2016-07-29","0.00","83","73"
"USW00014846","SANDUSKY, OH US","2016-07-30","0.02","81","72"
"USW00014846","SANDUSKY, OH US","2016-07-31","0.10","83","71"
"USW00014846","SANDUSKY, OH US","2016-08-01","0.00","81","70"
"USW00014846","SANDUSKY, OH US","2016-08-02","0.00","83","69"
"USW00014846","SANDUSKY, OH US","2016-08-03","0.00","84","71"
"USW00014846","SANDUSKY, OH US","2016-08-04","0.00","88","70"
"USW00014846","SANDUSKY, OH US","2016-08-05","0.10","89","74"
"USW00014846","SANDUSKY, OH US","2016-08-06","0.00","82","72"
"USW00014846","SANDUSKY, OH US","2016-08-07","0.00","81","68"
"USW00014846","SANDUSKY, OH US","2016-08-08","0.00","80","72"
"USW00014846","SANDUSKY, OH US","2016-08-09","0.00","85","68"
"USW00014846","SANDUSKY, OH US","2016-08-10","0.89","87","75"
"USW00014846","SANDUSKY, OH US","2016-08-11","0.17","92","76"
"USW00014846","SANDUSKY, OH US","2016-08-12","0.21","89","77"
"USW00014846","SANDUSKY, OH US","2016-08-13","0.92","86","73"
"USW00014846","SANDUSKY, OH US","2016-08-14","0.01","80","73"
"USW00014846","SANDUSKY, OH US","2016-08-15","0.11","78","72"
